unit_price,movie_rating,time_on_site,quantity,label
25,6.98,129.4021794,3,Low
25,8.09,96.93107031,3,Low
25,7.56,102.93701440000001,1,Low
25,6.83,127.5140612,4,Low
20,6.34,152.3695085,5,Low
25,7.16,129.6964102,2,Low
25,6.27,154.1751744,5,Low
20,5.24,189.4228945,7,Medium
25,6.07,167.208314,6,Medium
20,5.2,180.0883469,6,Medium
20,6.85,142.711751,4,Low
25,6.37,164.3577346,5,Low
20,4.5,219.99115619999998,9,Medium
25,8.01,95.46701615,5,Low
25,6.49,155.6051228,5,Low
25,6.72,144.9130827,4,Low
25,5.26,209.93433309999998,7,Medium
25,4.63,207.60986530000002,9,Medium
25,6.89,123.2892154,4,Low
20,6.12,160.13515149999998,6,Medium
20,6.65,144.02287230000002,4,Low
20,5.85,176.6021747,4,Low
25,7.52,110.1410213,1,Low
25,7.61,110.0460821,1,Low
25,4.92,193.4290507,5,Low
25,7.21,116.4998824,2,Low
25,6.44,136.41278359999998,5,Low
20,6.45,136.12202390000002,5,Low
20,7.89,86.38673915,2,Low
20,5.27,185.1021576,6,Medium
20,4.34,224.65387880000003,12,High
25,5.42,190.9768546,6,Medium
25,7.06,114.70248970000002,2,Low
20,6.38,156.4734118,5,Low
25,4.79,214.30734680000003,7,Medium
25,6.91,141.7236914,3,Low
25,6.81,130.2355617,4,Low
25,6.73,144.825978,4,Low
25,5.34,182.13019419999998,6,Medium
25,7.07,121.9052571,2,Low
25,7.42,124.1121499,2,Low
20,7.45,108.1310379,1,Low
20,7.23,118.6447501,2,Low
25,6.31,152.40947769999997,2,Low
25,5.88,178.31969019999997,4,Low
25,7.23,132.9488312,2,Low
25,6.53,139.54366409999997,5,Low
20,7.29,129.5582425,2,Low
20,7.74,108.7287291,1,Low
25,5.65,182.7280144,5,Low
25,7.19,119.69481359999999,2,Low
25,7.47,124.09958859999999,2,Low
25,5.85,166.69890149999998,4,Low
25,7.44,123.1356337,2,Low
25,6.99,130.6527516,3,Low
25,7.04,142.8101198,3,Low
25,6.72,128.4004679,4,Low
25,7.67,114.8064613,1,Low
25,7.33,115.1240367,2,Low
20,7.2,111.10155619999999,2,Low
25,5.84,162.041987,7,Medium
20,6.24,154.08345469999998,5,Low
25,6.54,159.7761677,5,Low
20,5.91,166.73247719999998,7,Medium
25,6.77,125.7550918,4,Low
25,6.97,140.71766440000002,3,Low
25,5.77,163.1704229,4,Low
25,8.13,88.32371948,2,Low
25,4.5,220.62723450000001,9,Medium
25,6.98,136.8813291,3,Low
25,7.14,112.93037199999999,2,Low
25,4.9,196.8132984,8,Medium
25,8.32,72.95704667,2,Low
20,6.46,169.01127309999998,5,Low
25,7.85,95.4751779,5,Low
25,6.82,126.6646321,4,Low
25,6.24,155.13610419999998,5,Low
25,7.91,99.27210789,4,Low
25,7.25,127.73632579999999,2,Low
25,7.34,107.5242021,2,Low
25,6.72,147.7670865,4,Low
25,6.64,139.2640623,4,Low
20,5.8,162.06653980000002,4,Low
25,6.23,164.7590483,6,Medium
25,5.99,153.2625398,7,Medium
25,7.4,120.86497050000001,2,Low
25,6.76,151.111592,4,Low
20,7.15,121.1337239,2,Low
20,7.83,99.38328335,5,Low
25,6.56,144.5798782,5,Low
25,4.54,210.49051969999996,9,Medium
20,4.97,201.18698740000002,8,Medium
20,7.65,100.9743655,1,Low
25,7.08,117.03429579999998,2,Low
25,7.45,109.90489950000001,1,Low
20,5.17,181.4234801,8,Medium
25,6.17,163.67991640000002,6,Medium
25,7.19,124.9051,2,Low
25,6.1,180.61501030000002,6,Medium
20,8.31,78.57751029,4,Low
